method,budget,fold,metric,value,mean,std,min,max,n_folds
Uniform,50,1,msse,0.6000677486410304,,,,,
Uniform,50,1,n_test,603.0,,,,,
Uniform,50,1,morans_i,0.701322379241872,,,,,
Uniform,50,1,morans_pval,0.001,,,,,
Uniform,50,1,selection_time_sec,0.0,,,,,
Uniform,50,1,inference_time_sec,0.0039539337158203125,,,,,
Uniform,50,1,n_selected,50.0,,,,,
Uniform,50,1,total_cost,7760.0,,,,,
Uniform,50,2,rmse,0.29906879455097074,,,,,
Uniform,50,2,mae,0.22451412706111384,,,,,
Uniform,50,2,r2,0.5659058725920494,,,,,
Uniform,50,2,expected_loss_gbp,6596.577489620435,,,,,
Uniform,50,2,coverage_90,0.9839679358717435,,,,,
Uniform,50,2,msse,0.3180071591098707,,,,,
Uniform,50,2,n_test,499.0,,,,,
Uniform,50,2,morans_i,0.5536850678851716,,,,,
Uniform,50,2,morans_pval,0.001,,,,,
Uniform,50,2,selection_time_sec,0.0,,,,,
Uniform,50,2,inference_time_sec,0.004008054733276367,,,,,
Uniform,50,2,n_selected,50.0,,,,,
Uniform,50,2,total_cost,7760.0,,,,,
Uniform,50,3,rmse,0.41955224928095874,,,,,
Uniform,50,3,mae,0.3041385005475419,,,,,
Uniform,50,3,r2,0.5700604920083852,,,,,
Uniform,50,3,expected_loss_gbp,6218.96677935161,,,,,
Uniform,50,3,coverage_90,0.9538152610441767,,,,,
Uniform,50,3,msse,0.585231017958535,,,,,
Uniform,50,3,n_test,498.0,,,,,
Uniform,50,3,morans_i,0.6753494185289027,,,,,
Uniform,50,3,morans_pval,0.001,,,,,
Uniform,50,3,selection_time_sec,0.0,,,,,
Uniform,50,3,inference_time_sec,0.0030059814453125,,,,,
Uniform,50,3,n_selected,50.0,,,,,
Uniform,50,3,total_cost,7760.0,,,,,
Random,5,1,rmse,0.47464275574917575,,,,,
Random,5,1,mae,0.3622619645859842,,,,,
Random,5,1,r2,0.24167683157094344,,,,,
Random,5,1,expected_loss_gbp,6544.293959301262,,,,,
Random,5,1,coverage_90,0.9485903814262023,,,,,
Random,5,1,msse,0.6812844006718085,,,,,
Random,5,1,n_test,603.0,,,,,
Random,5,1,morans_i,0.7386851731403744,,,,,
Random,5,1,morans_pval,0.001,,,,,
Random,5,1,selection_time_sec,0.003000020980834961,,,,,
Random,5,1,inference_time_sec,0.004999876022338867,,,,,
Random,5,1,n_selected,5.0,,,,,
Random,5,1,total_cost,910.0,,,,,
Random,5,2,rmse,0.3984378066249401,,,,,
Random,5,2,mae,0.290609330773637,,,,,
Random,5,2,r2,0.22951747790799437,,,,,
Random,5,2,expected_loss_gbp,6501.650367941585,,,,,
Random,5,2,coverage_90,0.9659318637274549,,,,,
Random,5,2,msse,0.48752441357325216,,,,,
Random,5,2,n_test,499.0,,,,,
Random,5,2,morans_i,0.7151825165364045,,,,,
Random,5,2,morans_pval,0.001,,,,,
Random,5,2,selection_time_sec,0.0009984970092773438,,,,,
Random,5,2,inference_time_sec,0.0029935836791992188,,,,,
Random,5,2,n_selected,5.0,,,,,
Random,5,2,total_cost,910.0,,,,,
Random,5,3,rmse,0.5956473835968643,,,,,
Random,5,3,mae,0.4184175079315661,,,,,
Random,5,3,r2,0.13340989748685206,,,,,
Random,5,3,expected_loss_gbp,6527.511178896826,,,,,
Random,5,3,coverage_90,0.8835341365461847,,,,,
Random,5,3,msse,1.0471295577696649,,,,,
Random,5,3,n_test,498.0,,,,,
Random,5,3,morans_i,0.8210826733775589,,,,,
Random,5,3,morans_pval,0.001,,,,,
Random,5,3,selection_time_sec,0.0,,,,,
Random,5,3,inference_time_sec,0.003916501998901367,,,,,
Random,5,3,n_selected,5.0,,,,,
Random,5,3,total_cost,910.0,,,,,
Random,10,1,rmse,0.46976391562968894,,,,,
Random,10,1,mae,0.3589276483706228,,,,,
Random,10,1,r2,0.2571862761035858,,,,,
Random,10,1,expected_loss_gbp,6506.884093558606,,,,,
Random,10,1,coverage_90,0.9502487562189055,,,,,
Random,10,1,msse,0.68295295449796,,,,,
Random,10,1,n_test,603.0,,,,,
Random,10,1,morans_i,0.7333071207132069,,,,,
Random,10,1,morans_pval,0.001,,,,,
Random,10,1,selection_time_sec,0.0009925365447998047,,,,,
Random,10,1,inference_time_sec,0.003007173538208008,,,,,
Random,10,1,n_selected,10.0,,,,,
Random,10,1,total_cost,1490.0,,,,,
Random,10,2,rmse,0.39777282086200294,,,,,
